File name,colony_ID, Label_ID, Cells per Island, Area, Perimeter, Eccentricity, Circ, Centroid, nan, dist from center
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_A-10_E_D(cropped).tif,2,2,54, 20379, 633.3279938488575, 0.8553533498237951,0.6384624553669282,(684.6358506305511, 1019.1258648608862),0.0003507929340150665
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_A-10_E_D(cropped).tif,2,4,54, 19453, 590.2985565973347, 0.5168488807980616,0.7015409204763577,(773.1947771551945, 1391.3444198838226),0.0003924533191013083
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_A-10_E_D(cropped).tif,2,11,56, 17364, 675.3523804664972, 0.8788308186181862,0.47840837214723614,(1445.17530522921, 961.6224372264455),0.0003520321590689951
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,2,52, 23744, 1585.5819612930193, 0.8374061258910125,0.11868240954130989,(654.1205778301887, 1266.1149342991914),0.00027845367192704147
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,7,51, 12796, 524.3401871576773, 0.702874822967168,0.5848679266934818,(909.2510940919037, 1917.6389496717725),0.00017443537423707679
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,9,78, 27297, 956.8569978244918, 0.833247288931088,0.3746542892845228,(1008.4695754112173, 1404.8502765871708),0.0001762274534347018
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,13,52, 13708, 558.0975464705581, 0.8651929986035236,0.5530491551973284,(1124.3319229646922, 2421.772395681354),0.00020813225818516076
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,17,659, 283845, 9232.59732345539, 0.6540036808054869,0.041844976057757874,(1629.363702020469, 1034.9464707851116),0.00020593876500875442
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,20,76, 28264, 951.7859300126263, 0.5916979505864518,0.3920711870195981,(1403.7089937729975, 2311.8858264930655),0.0001498180813529304
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,22,99, 42945, 1524.5159441150372, 0.9330393978364048,0.23219802931949315,(1563.120456397718, 2800.2304808475956),0.00027965505738290807
/Users/Ashley/Documents/Git Hub/Multicellular-Pattern-Synthesis/image_segmentation_clustering/images/islands/EBICS_ISLAND_D-8_E_D(cropped).tif,2,24,68, 32716, 1352.4448763031717, 0.5909675175620777,0.22476615571380418,(1624.6962036923828, 2466.754493214329),0.00018989369827216487
